queriedAccount,timeMs,isoTime,hash,type,token,amount,usdcValue,fromAddress,toAddress,fee,nonce,sourceDex,destinationDex
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739277675388,2025-02-11T12:41:15.388Z,0x0a52d986149ad0977cf6f340eadb5c6e70923d1c5f5cc6088e2a885896d035d8,deposit,USDC,13.31,13.31,,,,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739281365895,2025-02-11T13:42:45.895Z,0xc9c48efc3581e9aba3a4041d90d04b01a90060bf6b8cb3890740c94d898caa6e,spotTransfer,USDC,1.0,1.0,0x52be86e343dbb35077bfd17a41c146ffa8156688,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739296855651,2025-02-11T18:00:55.651Z,0xef85bca0089a4c1a0726041d93b66401f6000b4bd5d6997ef4517c046e3dab51,spotTransfer,USDC,0.3,0.3,0x52be86e343dbb35077bfd17a41c146ffa8156688,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739296891480,2025-02-11T18:01:31.480Z,0x5da6b3d5124a608ba672041d93b81001cc00e555374eba732fa5c0a1b72b3ac1,spotTransfer,USDC,253.09612632,253.096126,0x4ddb82a25164f22ebe556ccd9c51fd78ffaf4eb0,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739297020777,2025-02-11T18:03:40.777Z,0x3fafa0908e308c912cb5041d93be2a02013300318f7071be06b7aa3ba60c3e23,spotTransfer,USDC,115.7439264,115.743926,0xc93bb3da11f1a45461130006bcc935edc69b7bbd,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739297658791,2025-02-11T18:14:18.791Z,0xffd9459b1602de26100f041d93dd17020167004bd11067111b59d6a8435ece56,spotTransfer,USDC,5.0,5.0,0x4e0777886373fc9e0d2c93141dfaaa01a27ec26d,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739297723962,2025-02-11T18:15:23.962Z,0xff6432dd16a4cc0b30d5041d93e0060201e100177c6a77ef20cbb33b823f895b,spotTransfer,USDC,7.0,7.0,0x4e0777886373fc9e0d2c93141dfaaa01a27ec26d,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739298155302,2025-02-11T18:22:35.302Z,0x2bbe6984d2fce5dc6aa5041d93f4df0201630018faec41d6de6ac41fb543f983,spotTransfer,USDC,234.33,234.33,0xa368f543263c262582c6170cf5f1be3012c3b369,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739298192841,2025-02-11T18:23:12.841Z,0x94035ed024688a99277e041d93f6cc01e600cf867a338830ac631f58a6cb124d,spotTransfer,USDC,0.1,0.1,0x52be86e343dbb35077bfd17a41c146ffa8156688,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739298295159,2025-02-11T18:24:55.159Z,0x215382e1e0bc0c2086bc041d93fbc902013e00459787bc2f6e72ad2e25e18a64,spotTransfer,USDC,5.0,5.0,0x04bb668f4a1a80f9f9820af80431f5f1e72306ee,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1.0,,,
