Column,Rank,Address,Value,Row Total
Raw BFR,1,0x9Bb70bf2938A667cA6f039DB35B925e3d3Eb9885,4904339.73117753295504053,4908009.86375130415244451
Raw BFR,2,0x565d37608E55cb0FAD8062C7e3aa5902869EC6e5,1450761.550242896789716595,1450761.550244587221393845
Raw BFR,3,0xfa1e2DD94D6665bb964192Debac09c16242f8a48,621472.136399243169093504,671218.967159404800754439
Raw BFR,4,0x0A75e0C413bc8dF71bDa8d583077367aA9570703,609481.076093740482594669,609481.076095423286952632
Raw BFR,5,0x6B4aEC9543D3154c687ABAdBC0F8A43D07CD4964,573957.947448,573957.94744902905245384
Raw esBFR,1,0xF845d5442Ea015cC0290630B2b4CE2dF3662e58A,39273.084405336262918073,39273.084405336262918073
Raw esBFR,2,0x803c36A0f9AEAC4223933951Dcb4B62B2bf9Ad55,32674.170017021960872131,32674.170017021960872131
Raw esBFR,3,0x282d111B9410AbD409129BBDBE7DF1d3471cC362,30436.633306026759425862,30436.633306026759425862
Raw esBFR,4,0xC1666edcb9102E13Cb9Ab9Fd6b24AD95D634752B,27906.96,27906.96
Raw esBFR,5,0x89B3E00fb069A4DE1496c59FB6c6F1966AED0396,26649.835060683916793506,26821.534253189015763598
fsBLP Reward,1,0x874Fe4B19027e693a7A12C8678d3ba6A0A7C0906,98402.822328759626176333,101072.746138602768641351
fsBLP Reward,2,0xA1DA54688AF9ad8D905A415AcCCEcD2553E5233C,45809.422887713110853538,53070.232826898005138345
fsBLP Reward,3,0x9F01898B30bd20BdC0A9A9FEE0eC3783917c4770,8958.587836752343636933,231957.555277207106175494
fsBLP Reward,4,0x520e51e34d55d7bBa2076A5107DFc2535e6355b6,4885.477632976715458147,7399.391138717264718309
fsBLP Reward,5,0xa1A8EBe743d14539fD7Bce676c4D179bD4E5B88C,3898.985702461236658128,11238.115417056078719864
Vester 1,1,0x6025870447e54d0ebCf7948966eC3d8619DE22B1,36346.343036,58141.014447726491119892
Vester 1,2,0x5E521B60d714459981433cec94Df6E33e04189d1,12002.347368,15032.088793078992262818
Vester 1,3,0x5D4B67faB585eC9Ccd341eA9cE32C4A71840747D,11548,11548
Vester 1,4,0x08048f6D9db401d2716DCbb1979513231e5e3C81,11011.074961948249619484,61458.530661499005846352
Vester 1,5,0x186381052b9Badfe1A727BBB583f8beCF3582f57,10600,36135.383905671195585716
Vester 2,1,0xddF18E68c7f993800F612e1F4E633F44d866658B,2638.684083,27027.920755751503710163
Vester 2,2,0x67fa1CE1D4944cb3beab813B369966D34dA02e41,754.016068,2008.748234243235245763
Vester 2,3,0x715E48365Cc0A3f98738E5754d840eb030B60F16,93.225301,93.225301305016795581
Staking,1,0x2151578e1fEc29361bB0481312Ea6b935014D636,787063.266675202018839372,787063.266675733621768889
Staking,2,0x4A537fe739fb652753459ac333337fc97Ef182c6,292101.875918520507705729,295253.704794867116190857
Staking,3,0x97C080C8543051B7F10D78Fba29C1D849d07DC45,286087.191175979320605678,286087.19117656908840883
Staking,4,0x04d7a435430EA8AceD8DFcAFc4f3Eb95a67a5CFf,237730.827284852969867792,238104.657096401420628352
Staking,5,0x9F01898B30bd20BdC0A9A9FEE0eC3783917c4770,222998.967440070328986424,231957.555277207106175494
Camelot,,,0,
OTC,1,0x5EEaf1AFE5E95013C785412Fe462000070B9cCCc,144999.99,0
OTC,2,0x89da619c7e13be65127401De8e62360F9DcaF82A,9540.99463618,337692.415941481160138349
OTC,3,0xD0e9e2A416C99E17b07D0438810FFf334f57b8Ad,5005.45598,175.446174739323107386
OTC,4,0xbbd7543Ab24453fd157B063e02A83FFd2f3dc834,5000,0
OTC,5,0x8d89C1E0b80885aF3394806bD714EF57Aac068c4,4100,259567.549789976000397142
